Mass (Jupiter mass)	Period (d)	RV-Semiamplitude (m/s)	Probability
0.0031622776601683794	1.0	2.2247863479906442	0.0
0.0031622776601683794	1.1689518164985782	2.1119782475216784	100.0
0.0031622776601683794	1.3664483492953254	2.0048900974393686	90.0
0.0031622776601683794	1.5973122800602544	1.9032318668657036	74.0
0.0031622776601683794	1.86718109129192	1.806728230978584	100.0
0.0031622776601683794	2.182644728397487	1.715117825339217	72.0
0.0031622776601683794	2.5514065200312888	1.6281525380289432	96.0
0.0031622776601683794	2.9824712862168905	1.545596837678366	36.0
0.0031622776601683794	3.486365227678085	1.4672271355688535	52.0
0.0031622776601683794	4.075392965871777	1.392831180078776	0.0
0.0031622776601683794	4.763938010401341	1.3222074818344285	0.0
0.0031622776601683794	5.56881399094527	1.2551647680087574	0.0
0.0031622776601683794	6.50967523045817	1.1915214642899443	0.0
0.0031622776601683794	7.609496685459877	1.1311052031168445	18.0
0.0031622776601683794	8.895134973108235	1.073752356849419	0.0
0.0031622776601683794	10.3979841848149	1.019307594609819	0.0
0.0031622776601683794	12.154742500762865	0.9676234615939111	0.0
0.0031622776601683794	14.208308325339223	0.9185599797138645	0.0
0.0031622776601683794	16.608827826277157	0.8719842684902136	0.0
0.0031622776601683794	19.414919457438806	0.8277701851666426	0.0
0.0031622776601683794	22.695105366946684	0.7857979830727965	0.0
0.0031622776601683794	26.52948464431896	0.7459539873098562	0.0
0.0031622776601683794	31.011689265747787	0.7081302868805195	0.0
0.0031622776601683794	36.25117049988533	0.6722244424295757	0.0
0.0031622776601683794	42.37587160604063	0.6381392088035337	0.0
0.0031622776601683794	49.5353520895917	0.6057822716779027	0.0
0.0031622776601683794	57.90443980602486	0.5750659975388244	0.0
0.0031622776601683794	67.68750009458535	0.5459071963419203	0.0
0.0031622776601683794	79.12342618981323	0.5182268962055542	0.0
0.0031622776601683794	92.49147277217335	0.4919501295283063	0.0
0.0031622776601683794	108.11807510766077	0.4670057299513887	0.0
0.0031622776601683794	126.38482029342984	0.44332613961611	0.0
0.0031622776601683794	147.73776525985113	0.42084722619437814	0.0
0.0031622776601683794	172.69832906594343	0.3995081091966949	0.0
0.0031622776601683794	201.8760254679039	0.3792509950872293	0.0
0.0031622776601683794	235.98334667821936	0.3600210207594045	0.0
0.0031622776601683794	275.85316176291843	0.3417661049480739	0.0
0.0031622776601683794	322.45905452963945	0.3244368071758676	0.0
0.0031622776601683794	376.93909753883594	0.30798619385167997	0.0
0.0031622776601683794	440.6236427773573	0.2923697111586546	0.0
0.0031622776601683794	515.0678076168122	0.27754506438740134	0.0
0.0031622776601683794	602.0894493336132	0.2634721033876373	0.0
0.0031622776601683794	703.8135554931555	0.2501127138280214	0.0
0.0031622776601683794	822.7241341700466	0.23743071396967114	0.0
0.0031622776601683794	961.7248711152964	0.22539175667379432	0.0
0.0031622776601683794	1124.2100350620863	0.21396323637803738	0.0
0.0031622776601683794	1314.1473626117568	0.20311420078960957	0.0
0.0031622776601683794	1536.1749466718281	0.1928152670560211	0.0
0.0031622776601683794	1795.714494371641	0.18303854218639437	0.0
0.0031622776601683794	2099.1037201085546	0.1737575475078246	0.0
0.0031622776601683794	2453.751106639817	0.16494714695219062	0.0
0.0031622776601683794	2868.3168133420118	0.15658347897919284	0.0
0.0031622776601683794	3352.9241492495566	0.1486438919512436	0.0
0.0031622776601683794	3919.406774847221	0.14110688278518208	0.0
0.0031622776601683794	4581.597669054491	0.13395203871466269	0.0
0.0031622776601683794	5355.666917706896	0.12715998200548967	0.0
0.0031622776601683794	6260.516572014822	0.12071231747416833	0.0
0.0031622776601683794	7318.2422190761745	0.1145915826675356	0.0
0.0031622776601683794	8554.672535565684	0.10878120056853884	0.0
0.0031622776601683794	10000.0	0.1032654347000753	0.0
0.0037693909753883596	1.0	2.6519077641104842	0.0
0.0037693909753883596	1.1689518164985782	2.517442412973107	100.0
0.0037693909753883596	1.3664483492953254	2.389795146122519	86.0
0.0037693909753883596	1.5973122800602544	2.2686202516489353	70.0
0.0037693909753883596	1.86718109129192	2.153589547012923	100.0
0.0037693909753883596	2.182644728397487	2.0443914902162486	100.0
0.0037693909753883596	2.5514065200312888	1.940730336040925	100.0
0.0037693909753883596	2.9824712862168905	1.8423253350712787	70.0
0.0037693909753883596	3.486365227678085	1.7489099733297135	62.0
0.0037693909753883596	4.075392965871777	1.6602312504668455	48.0
0.0037693909753883596	4.763938010401341	1.5760489945511111	62.0
0.0037693909753883596	5.56881399094527	1.4961352116020605	50.0
0.0037693909753883596	6.50967523045817	1.420273468105659	38.0
0.0037693909753883596	7.609496685459877	1.3482583048392294	46.0
0.0037693909753883596	8.895134973108235	1.2798946804184899	8.0
0.0037693909753883596	10.3979841848149	1.21499744305961	0.0
0.0037693909753883596	12.154742500762865	1.1533908291256498	0.0
0.0037693909753883596	14.208308325339223	1.094907987099267	0.0
0.0037693909753883596	16.608827826277157	1.0393905256924576	0.0
0.0037693909753883596	19.414919457438806	0.9866880848694527	0.0
0.0037693909753883596	22.695105366946684	0.9366579286209603	0.0
0.0037693909753883596	26.52948464431896	0.8891645583868442	0.0
0.0037693909753883596	31.011689265747787	0.8440793460802605	0.0
0.0037693909753883596	36.25117049988533	0.8012801857193568	0.0
0.0037693909753883596	42.37587160604063	0.7606511627230322	0.0
0.0037693909753883596	49.5353520895917	0.7220822399751046	0.0
0.0037693909753883596	57.90443980602486	0.6854689598066349	0.0
0.0037693909753883596	67.68750009458535	0.6507121610892825	0.0
0.0037693909753883596	79.12342618981323	0.6177177106734772	0.0
0.0037693909753883596	92.49147277217335	0.5863962484440595	0.0
0.0037693909753883596	108.11807510766077	0.5566629453029077	0.0
0.0037693909753883596	126.38482029342984	0.5284372734230903	0.0
0.0037693909753883596	147.73776525985113	0.5016427881523147	0.0
0.0037693909753883596	172.69832906594343	0.47620692097498857	0.0
0.0037693909753883596	201.8760254679039	0.45206078297217234	0.0
0.0037693909753883596	235.98334667821936	0.42913897824711994	0.0
0.0037693909753883596	275.85316176291843	0.40737942681110295	0.0
0.0037693909753883596	322.45905452963945	0.38672319644983605	0.0
0.0037693909753883596	376.93909753883594	0.3671143431151356	0.0
0.0037693909753883596	440.6236427773573	0.3484997594095432	0.0
0.0037693909753883596	515.0678076168122	0.33082903075355846	0.0
0.0037693909753883596	602.0894493336132	0.31405429884592845	0.0
0.0037693909753883596	703.8135554931555	0.29813013204720673	0.0
0.0037693909753883596	822.7241341700466	0.2830134023355281	0.0
0.0037693909753883596	961.7248711152964	0.26866316850136013	0.0
0.0037693909753883596	1124.2100350620863	0.25504056526488095	0.0
0.0037693909753883596	1314.1473626117568	0.24210869801567414	0.0
0.0037693909753883596	1536.1749466718281	0.22983254288966404	0.0
0.0037693909753883596	1795.714494371641	0.2181788519126623	0.0
0.0037693909753883596	2099.1037201085546	0.2071160629536253	0.0
0.0037693909753883596	2453.751106639817	0.19661421424374306	0.0
0.0037693909753883596	2868.3168133420118	0.18664486322985044	0.0
0.0037693909753883596	3352.9241492495566	0.1771810095423871	0.0
0.0037693909753883596	3919.406774847221	0.16819702186927749	0.0
0.0037693909753883596	4581.597669054491	0.1596685685376814	0.0
0.0037693909753883596	5355.666917706896	0.15157255161560598	0.0
0.0037693909753883596	6260.516572014822	0.14388704435490485	0.0
0.0037693909753883596	7318.2422190761745	0.136591231806239	0.0
0.0037693909753883596	8554.672535565684	0.12966535444516358	0.0
0.0037693909753883596	10000.0	0.12309065465666255	0.0
0.004493061600600462	1.0	3.1610277680773238	0.0
0.004493061600600462	1.1689518164985782	3.0007474164972643	100.0
0.004493061600600462	1.3664483492953254	2.84859410238333	100.0
0.004493061600600462	1.5973122800602544	2.7041557431731564	82.0
0.004493061600600462	1.86718109129192	2.5670411510078814	100.0
0.004493061600600462	2.182644728397487	2.4368789732633047	100.0
0.004493061600600462	2.5514065200312888	2.3133166868015604	100.0
0.004493061600600462	2.9824712862168905	2.196019643219404	80.0
0.004493061600600462	3.486365227678085	2.0846701625073085	100.0
0.004493061600600462	4.075392965871777	1.9789666726647106	70.0
0.004493061600600462	4.763938010401341	1.8786228929411781	84.0
0.004493061600600462	5.56881399094527	1.7833670584914514	100.0
0.004493061600600462	6.50967523045817	1.69294118434446	66.0
0.004493061600600462	7.609496685459877	1.607100366692884	72.0
0.004493061600600462	8.895134973108235	1.525612119610938	72.0
0.004493061600600462	10.3979841848149	1.4482557454039588	18.0
0.004493061600600462	12.154742500762865	1.374821736884515	32.0
0.004493061600600462	14.208308325339223	1.3051112099561835	4.0
0.004493061600600462	16.608827826277157	1.238935364968245	26.0
0.004493061600600462	19.414919457438806	1.1761149753824671	4.0
0.004493061600600462	22.695105366946684	1.116479902367106	26.0
0.004493061600600462	26.52948464431896	1.0598686340034889	0.0
0.004493061600600462	31.011689265747787	1.0061278478571896	0.0
0.004493061600600462	36.25117049988533	0.9551119957290931	0.0
0.004493061600600462	42.37587160604063	0.9066829094617159	0.0
0.004493061600600462	49.5353520895917	0.8607094267331706	0.0
0.004493061600600462	57.90443980602486	0.8170670358253	0.0
0.004493061600600462	67.68750009458535	0.7756375384038927	0.0
0.004493061600600462	79.12342618981323	0.7363087293976736	0.0
0.004493061600600462	92.49147277217335	0.6989740931090754	0.0
0.004493061600600462	108.11807510766077	0.6635325147337553	0.0
0.004493061600600462	126.38482029342984	0.629888006507554	0.0
0.004493061600600462	147.73776525985113	0.5979494477392137	0.0
0.004493061600600462	172.69832906594343	0.5676303380247688	0.0
0.004493061600600462	201.8760254679039	0.538848562975239	0.0
0.004493061600600462	235.98334667821936	0.5115261718231319	0.0
0.004493061600600462	275.85316176291843	0.4855891663054351	0.0
0.004493061600600462	322.45905452963945	0.46096730025133115	0.0
0.004493061600600462	376.93909753883594	0.4375938893318398	0.0
0.004493061600600462	440.6236427773573	0.41540563045613416	0.0
0.004493061600600462	515.0678076168122	0.39434243032539223	0.0
0.004493061600600462	602.0894493336132	0.3743472426798456	0.0
0.004493061600600462	703.8135554931555	0.35536591379824384	0.0
0.004493061600600462	822.7241341700466	0.33734703583128556	0.0
0.004493061600600462	961.7248711152964	0.3202418075718017	0.0
0.004493061600600462	1124.2100350620863	0.3040039022846038	0.0
0.004493061600600462	1314.1473626117568	0.288589342238039	0.0
0.004493061600600462	1536.1749466718281	0.2739563795974402	0.0
0.004493061600600462	1795.714494371641	0.26006538335788926	0.0
0.004493061600600462	2099.1037201085546	0.2468787320100717	0.0
0.004493061600600462	2453.751106639817	0.23436071164852276	0.0
0.004493061600600462	2868.3168133420118	0.22247741924630954	0.0
0.004493061600600462	3352.9241492495566	0.21119667083418406	0.0
0.004493061600600462	3919.406774847221	0.2004879143355245	0.0
0.004493061600600462	4581.597669054491	0.19032214682099358	0.0
0.004493061600600462	5355.666917706896	0.18067183595881	0.0
0.004493061600600462	6260.516572014822	0.1715108454478957	0.0
0.004493061600600462	7318.2422190761745	0.16281436423194529	0.0
0.004493061600600462	8554.672535565684	0.15455883930270595	0.0
0.004493061600600462	10000.0	0.14672191191047634	0.0
0.005355666917706897	1.0	3.7678877773734682	0.0
0.005355666917706897	1.1689518164985782	3.576836504818859	100.0
0.005355666917706897	1.3664483492953254	3.395472513547924	100.0
0.005355666917706897	1.5973122800602544	3.2233046086190424	90.0
0.005355666917706897	1.86718109129192	3.0598665011982633	100.0
0.005355666917706897	2.182644728397487	2.9047155456916594	100.0
0.005355666917706897	2.5514065200312888	2.7574315409115613	100.0
0.005355666917706897	2.9824712862168905	2.617615592029824	100.0
0.005355666917706897	3.486365227678085	2.484889030235912	100.0
0.005355666917706897	4.075392965871777	2.358892387173869	80.0
0.005355666917706897	4.763938010401341	2.2392844213806034	100.0
0.005355666917706897	5.56881399094527	2.125741194088759	100.0
0.005355666917706897	6.50967523045817	2.0179551918911263	100.0
0.005355666917706897	7.609496685459877	1.9156344938904732	100.0
0.005355666917706897	8.895134973108235	1.8185019810791707	90.0
0.005355666917706897	10.3979841848149	1.7262945858073189	60.0
0.005355666917706897	12.154742500762865	1.6387625793067095	60.0
0.005355666917706897	14.208308325339223	1.5556688953409763	38.0
