Mass (Jupiter mass)	Period (d)	RV-Semiamplitude (m/s)	Probability
0.0031622776601683794	1.0	0.9851966443030946	0.0
0.0031622776601683794	1.1689518164985782	0.9352421117554602	0.0
0.0031622776601683794	1.3664483492953254	0.887820530711957	0.0
0.0031622776601683794	1.5973122800602544	0.8428034675151155	0.0
0.0031622776601683794	1.86718109129192	0.8000690007538883	0.0
0.0031622776601683794	2.182644728397487	0.7595013910592926	0.0
0.0031622776601683794	2.5514065200312888	0.7209907676431081	0.0
0.0031622776601683794	2.9824712862168905	0.6844328307306767	0.0
0.0031622776601683794	3.486365227678085	0.6497285690818859	0.0
0.0031622776601683794	4.075392965871777	0.6167839918352914	0.0
0.0031622776601683794	4.763938010401341	0.5855098739491195	0.0
0.0031622776601683794	5.56881399094527	0.5558215145497198	0.0
0.0031622776601683794	6.50967523045817	0.5276385075329935	0.0
0.0031622776601683794	7.609496685459877	0.5008845237975056	0.0
0.0031622776601683794	8.895134973108235	0.47548710451950105	0.0
0.0031622776601683794	10.3979841848149	0.45137746490993647	0.0
0.0031622776601683794	12.154742500762865	0.4284903079220416	0.0
0.0031622776601683794	14.208308325339223	0.4067636474048624	0.0
0.0031622776601683794	16.608827826277157	0.38613864022382954	0.0
0.0031622776601683794	19.414919457438806	0.36655942689367715	0.0
0.0031622776601683794	22.695105366946684	0.34797298029208984	0.0
0.0031622776601683794	26.52948464431896	0.33032896204434725	0.0
0.0031622776601683794	31.011689265747787	0.31357958619000353	0.0
0.0031622776601683794	36.25117049988533	0.29767948976236785	0.0
0.0031622776601683794	42.37587160604063	0.28258560993026954	0.0
0.0031622776601683794	49.5353520895917	0.2682570673693675	0.0
0.0031622776601683794	57.90443980602486	0.25465505554713336	0.0
0.0031622776601683794	67.68750009458535	0.24174273562165535	0.0
0.0031622776601683794	79.12342618981323	0.22948513666961204	0.0
0.0031622776601683794	92.49147277217335	0.21784906097320147	0.0
0.0031622776601683794	108.11807510766077	0.20680299410950906	0.0
0.0031622776601683794	126.38482029342984	0.19631701959880665	0.0
0.0031622776601683794	147.73776525985113	0.18636273788062202	0.0
0.0031622776601683794	172.69832906594343	0.17691318939813686	0.0
0.0031622776601683794	201.8760254679039	0.1679427815826021	0.0
0.0031622776601683794	235.98334667821936	0.15942721954001834	0.0
0.0031622776601683794	275.85316176291843	0.15134344025235702	0.0
0.0031622776601683794	322.45905452963945	0.1436695501151192	0.0
0.0031622776601683794	376.93909753883594	0.1363847656420595	0.0
0.0031622776601683794	440.6236427773573	0.12946935717648644	0.0
0.0031622776601683794	515.0678076168122	0.12290459545668878	0.0
0.0031622776601683794	602.0894493336132	0.1166727008907688	0.0
0.0031622776601683794	703.8135554931555	0.11075679540350322	0.0
0.0031622776601683794	822.7241341700466	0.10514085672481462	0.0
0.0031622776601683794	961.7248711152964	0.09980967499605296	0.0
0.0031622776601683794	1124.2100350620863	0.09474881157656163	0.0
0.0031622776601683794	1314.1473626117568	0.08994455993896175	0.0
0.0031622776601683794	1536.1749466718281	0.08538390854724709	0.0
0.0031622776601683794	1795.714494371641	0.08105450561714993	0.0
0.0031622776601683794	2099.1037201085546	0.07694462566333772	0.0
0.0031622776601683794	2453.751106639817	0.07304313774283866	0.0
0.0031622776601683794	2868.3168133420118	0.06933947530868868	0.0
0.0031622776601683794	3352.9241492495566	0.06582360759215375	0.0
0.0031622776601683794	3919.406774847221	0.06248601243602026	0.0
0.0031622776601683794	4581.597669054491	0.059317650505377365	0.0
0.0031622776601683794	5355.666917706896	0.05630994080604504	0.0
0.0031622776601683794	6260.516572014822	0.05345473744434383	0.0
0.0031622776601683794	7318.2422190761745	0.05074430756526356	0.0
0.0031622776601683794	8554.672535565684	0.048171310409280264	0.0
0.0031622776601683794	10000.0	0.04572877743110026	0.0
0.0037693909753883596	1.0	1.1743398307797936	0.0
0.0037693909753883596	1.1689518164985782	1.1147947667178164	0.0
0.0037693909753883596	1.3664483492953254	1.058268943391113	0.0
0.0037693909753883596	1.5973122800602544	1.004609269779275	0.0
0.0037693909753883596	1.86718109129192	0.9536704173633254	0.0
0.0037693909753883596	2.182644728397487	0.9053144265270068	0.0
0.0037693909753883596	2.5514065200312888	0.8594103329155458	0.0
0.0037693909753883596	2.9824712862168905	0.8158338127399499	0.0
0.0037693909753883596	3.486365227678085	0.7744668460661979	0.0
0.0037693909753883596	4.075392965871777	0.7351973971773978	0.0
0.0037693909753883596	4.763938010401341	0.6979191111432286	0.0
0.0037693909753883596	5.56881399094527	0.6625310257748676	0.0
0.0037693909753883596	6.50967523045817	0.6289372981852859	0.0
0.0037693909753883596	7.609496685459877	0.5970469452143389	0.0
0.0037693909753883596	8.895134973108235	0.5667735970156419	0.0
0.0037693909753883596	10.3979841848149	0.5380352631378548	0.0
0.0037693909753883596	12.154742500762865	0.5107541104668493	0.0
0.0037693909753883596	14.208308325339223	0.4848562524273483	0.0
0.0037693909753883596	16.608827826277157	0.46027154887312616	0.0
0.0037693909753883596	19.414919457438806	0.4369334161238036	0.0
0.0037693909753883596	22.695105366946684	0.41477864663375374	0.0
0.0037693909753883596	26.52948464431896	0.39374723780472093	0.0
0.0037693909753883596	31.011689265747787	0.3737822294785193	0.0
0.0037693909753883596	36.25117049988533	0.35482954966968755	0.0
0.0037693909753883596	42.37587160604063	0.3368378681202895	0.0
0.0037693909753883596	49.5353520895917	0.3197584572802398	0.0
0.0037693909753883596	57.90443980602486	0.30354506033664147	0.0
0.0037693909753883596	67.68750009458535	0.2881537659347135	0.0
0.0037693909753883596	79.12342618981323	0.27354288925101194	0.0
0.0037693909753883596	92.49147277217335	0.2596728590968494	0.0
0.0037693909753883596	108.11807510766077	0.24650611074615156	0.0
0.0037693909753883596	126.38482029342984	0.23400698419749166	0.0
0.0037693909753883596	147.73776525985113	0.2221416275947635	0.0
0.0037693909753883596	172.69832906594343	0.2108779055449215	0.0
0.0037693909753883596	201.8760254679039	0.20018531208448342	0.0
0.0037693909753883596	235.98334667821936	0.19003488805907828	0.0
0.0037693909753883596	275.85316176291843	0.1803991426922753	0.0
0.0037693909753883596	322.45905452963945	0.1712519791312775	0.0
0.0037693909753883596	376.93909753883594	0.16256862376782957	0.0
0.0037693909753883596	440.6236427773573	0.1543255591429202	0.0
0.0037693909753883596	515.0678076168122	0.1465004602535607	0.0
0.0037693909753883596	602.0894493336132	0.1390721340891361	0.0
0.0037693909753883596	703.8135554931555	0.1320204622335757	0.0
0.0037693909753883596	822.7241341700466	0.12532634637788675	0.0
0.0037693909753883596	961.7248711152964	0.11897165659548406	0.0
0.0037693909753883596	1124.2100350620863	0.11293918224022562	0.0
0.0037693909753883596	1314.1473626117568	0.10721258533416989	0.0
0.0037693909753883596	1536.1749466718281	0.1017763563188139	0.0
0.0037693909753883596	1795.714494371641	0.09661577204997052	0.0
0.0037693909753883596	2099.1037201085546	0.0917168559225215	0.0
0.0037693909753883596	2453.751106639817	0.08706634001705042	0.0
0.0037693909753883596	2868.3168133420118	0.08265162916583572	0.0
0.0037693909753883596	3352.9241492495566	0.07846076684088293	0.0
0.0037693909753883596	3919.406774847221	0.0744824027716084	0.0
0.0037693909753883596	4581.597669054491	0.07070576220447343	0.0
0.0037693909753883596	5355.666917706896	0.06712061672131238	0.0
0.0037693909753883596	6260.516572014822	0.06371725653732196	0.0
0.0037693909753883596	7318.2422190761745	0.060486464203684684	0.0
0.0037693909753883596	8554.672535565684	0.057419489643604146	0.0
0.0037693909753883596	10000.0	0.054508026454142114	0.0
0.004493061600600462	1.0	1.3997955145896204	0.0
0.004493061600600462	1.1689518164985782	1.3288186887975835	2.0
0.004493061600600462	1.3664483492953254	1.261440752805526	0.0
0.004493061600600462	1.5973122800602544	1.1974792244067853	10.0
0.004493061600600462	1.86718109129192	1.1367608741803086	0.0
0.004493061600600462	2.182644728397487	1.079121256326873	0.0
0.004493061600600462	2.5514065200312888	1.024404263294322	0.0
0.004493061600600462	2.9824712862168905	0.9724617029855923	0.0
0.004493061600600462	3.486365227678085	0.9231528974044633	0.0
0.004493061600600462	4.075392965871777	0.8763443016520331	0.0
0.004493061600600462	4.763938010401341	0.8319091422420276	0.0
0.004493061600600462	5.56881399094527	0.7897270737553844	0.0
0.004493061600600462	6.50967523045817	0.7496838529042135	0.0
0.004493061600600462	7.609496685459877	0.7116710291223877	0.0
0.004493061600600462	8.895134973108235	0.6755856508447842	0.0
0.004493061600600462	10.3979841848149	0.6413299866796737	0.0
0.004493061600600462	12.154742500762865	0.6088112607191054	0.0
0.004493061600600462	14.208308325339223	0.577941401270414	0.0
0.004493061600600462	16.608827826277157	0.5486368023283309	0.0
0.004493061600600462	19.414919457438806	0.5208180971416849	0.0
0.004493061600600462	22.695105366946684	0.49440994326143556	0.0
0.004493061600600462	26.52948464431896	0.4693408184878749	0.0
0.004493061600600462	31.011689265747787	0.44554282716435495	0.0
0.004493061600600462	36.25117049988533	0.4229515162929188	0.0
0.004493061600600462	42.37587160604063	0.40150570097381405	0.0
0.004493061600600462	49.5353520895917	0.3811472986961195	0.0
0.004493061600600462	57.90443980602486	0.3618211720306894	0.0
0.004493061600600462	67.68750009458535	0.34347497929937343	0.0
0.004493061600600462	79.12342618981323	0.32605903281607423	0.0
0.004493061600600462	92.49147277217335	0.3095261643157124	0.0
0.004493061600600462	108.11807510766077	0.2938315972066341	0.0
0.004493061600600462	126.38482029342984	0.27893282530047786	0.0
0.004493061600600462	147.73776525985113	0.2647894976910615	0.0
0.004493061600600462	172.69832906594343	0.25136330947049906	0.0
0.004493061600600462	201.8760254679039	0.23861789798657385	0.0
0.004493061600600462	235.98334667821936	0.22651874436039565	0.0
0.004493061600600462	275.85316176291843	0.21503307999761742	0.0
0.004493061600600462	322.45905452963945	0.2041297978400157	0.0
0.004493061600600462	376.93909753883594	0.19377936811707003	0.0
0.004493061600600462	440.6236427773573	0.18395375836937158	0.0
0.004493061600600462	515.0678076168122	0.1746263575272557	0.0
0.004493061600600462	602.0894493336132	0.165771903839037	0.0
0.004493061600600462	703.8135554931555	0.1573664164536549	0.0
0.004493061600600462	822.7241341700466	0.14938713047242877	0.0
0.004493061600600462	961.7248711152964	0.14181243529402454	0.0
0.004493061600600462	1124.2100350620863	0.13462181608564727	0.0
0.004493061600600462	1314.1473626117568	0.1277957982219453	0.0
0.004493061600600462	1536.1749466718281	0.1213158945411477	0.0
0.004493061600600462	1795.714494371641	0.11516455527558608	0.0
0.004493061600600462	2099.1037201085546	0.10932512052099691	0.0
0.004493061600600462	2453.751106639817	0.10378177511587387	0.0
0.004493061600600462	2868.3168133420118	0.09851950580866921	0.0
0.004493061600600462	3352.9241492495566	0.09352406059683803	0.0
0.004493061600600462	3919.406774847221	0.08878191012760198	0.0
0.004493061600600462	4581.597669054491	0.0842802110558926	0.0
0.004493061600600462	5355.666917706896	0.08000677126023509	0.0
0.004493061600600462	6260.516572014822	0.07595001682236574	0.0
0.004493061600600462	7318.2422190761745	0.07209896068115235	0.0
0.004493061600600462	8554.672535565684	0.06844317287592186	0.0
0.004493061600600462	10000.0	0.06497275229860436	0.0
0.005355666917706897	1.0	1.6685350372610883	0.0
0.005355666917706897	1.1689518164985782	1.5839317366837826	20.0
0.005355666917706897	1.3664483492953254	1.5036182582011473	24.0
0.005355666917706897	1.5973122800602544	1.4273770857886492	50.0
0.005355666917706897	1.86718109129192	1.3550017326019606	12.0
0.005355666917706897	2.182644728397487	1.286296181740846	0.0
0.005355666917706897	2.5514065200312888	1.2210743553691936	20.0
0.005355666917706897	2.9824712862168905	1.1591596107533906	0.0
